,DATETIMEDATA,PM25,CO,NO2,TEMP,RH
0,2024-01-01 00:00:00,31.5,0.63,10.0,27,95
1,2024-01-01 01:00:00,35.5,0.61,11.0,27,96
2,2024-01-01 02:00:00,28.3,0.5,5.29,27,93
3,2024-01-01 03:00:00,22.2,0.44,3.0,27,92
4,2024-01-01 04:00:00,27.4,0.43,1.0,26,93
5,2024-01-01 05:00:00,25.7,0.46,3.0,26,95
6,2024-01-01 06:00:00,25.3,0.48,4.0,26,92
7,2024-01-01 07:00:00,22.4,0.5,7.0,27,88
8,2024-01-01 08:00:00,23.1,0.37,3.0,29,74
9,2024-01-01 09:00:00,21.9,0.38,2.0,31,67
10,2024-01-01 10:00:00,17.4,0.38,2.0,31,63
11,2024-01-01 11:00:00,22.3,0.39,3.0,32,61
12,2024-01-01 12:00:00,21.5,0.39,2.0,33,59
13,2024-01-01 13:00:00,18.1,0.44,4.0,34,56
14,2024-01-01 14:00:00,20.2,0.42,4.0,35,53
15,2024-01-01 15:00:00,18.6,0.36,2.0,35,52
16,2024-01-01 16:00:00,20.5,0.39,2.0,34,53
17,2024-01-01 17:00:00,21.6,0.48,6.0,32,60
18,2024-01-01 18:00:00,22.5,0.51,12.0,31,69
19,2024-01-01 19:00:00,19.3,0.53,11.0,30,75
20,2024-01-01 20:00:00,20.2,0.6,16.0,29,75
21,2024-01-01 21:00:00,25.7,0.6,17.0,29,78
22,2024-01-01 22:00:00,28.5,0.49,9.0,28,80
23,2024-01-01 23:00:00,26.7,0.39,3.0,28,79
24,2024-01-02 00:00:00,20.8,0.33,3.0,28,74
25,2024-01-02 01:00:00,19.4,0.27,0.0,28,77
26,2024-01-02 02:00:00,19.0,0.26,0.0,27,80
27,2024-01-02 03:00:00,17.3,0.5,5.29,27,80
28,2024-01-02 04:00:00,20.6,0.35,0.0,27,82
29,2024-01-02 05:00:00,19.6,0.34,0.0,27,85
30,2024-01-02 06:00:00,21.8,0.32,1.0,26,86
31,2024-01-02 07:00:00,21.2,0.45,6.0,27,81
32,2024-01-02 08:00:00,20.9,0.37,3.0,29,72
33,2024-01-02 09:00:00,18.4,0.41,2.0,31,64
34,2024-01-02 10:00:00,20.0,0.41,2.0,32,59
35,2024-01-02 11:00:00,15.7,0.43,4.0,33,56
36,2024-01-02 12:00:00,18.0,0.41,4.0,34,55
37,2024-01-02 13:00:00,15.6,0.4,4.0,34,53
38,2024-01-02 14:00:00,20.1,0.42,4.0,35,49
39,2024-01-02 15:00:00,19.6,0.37,3.0,35,49
40,2024-01-02 16:00:00,21.8,0.4,6.0,35,49
41,2024-01-02 17:00:00,20.6,0.44,6.0,33,53
42,2024-01-02 18:00:00,23.9,0.46,10.0,32,58
43,2024-01-02 19:00:00,23.9,0.52,14.0,31,64
44,2024-01-02 20:00:00,21.3,0.49,11.0,30,66
45,2024-01-02 21:00:00,20.9,0.45,6.0,30,68
46,2024-01-02 22:00:00,18.7,0.45,3.0,30,65
47,2024-01-02 23:00:00,17.6,0.43,2.0,29,68
48,2024-01-03 00:00:00,21.3,0.38,2.0,28,73
49,2024-01-03 01:00:00,20.3,0.35,1.0,28,72
50,2024-01-03 02:00:00,19.1,0.35,1.0,28,74
51,2024-01-03 03:00:00,18.9,0.37,0.0,28,80
52,2024-01-03 04:00:00,22.3,0.5,5.29,27,85
53,2024-01-03 05:00:00,18.7,0.39,0.0,27,86
54,2024-01-03 06:00:00,21.1,0.46,5.0,27,87
55,2024-01-03 07:00:00,23.1,0.53,7.0,28,82
56,2024-01-03 08:00:00,20.8,0.44,6.0,29,72
57,2024-01-03 09:00:00,22.2,0.44,4.0,31,65
58,2024-01-03 10:00:00,20.8,0.45,4.0,32,59
59,2024-01-03 11:00:00,22.5,0.45,5.0,32,58
60,2024-01-03 12:00:00,21.1,0.44,4.0,32,58
61,2024-01-03 13:00:00,20.9,0.46,6.0,33,55
62,2024-01-03 14:00:00,19.1,0.44,3.0,33,58
63,2024-01-03 15:00:00,21.2,0.41,5.0,33,56
64,2024-01-03 16:00:00,20.2,0.5,7.0,32,57
65,2024-01-03 17:00:00,26.0,0.53,10.0,31,62
66,2024-01-03 18:00:00,28.0,0.54,11.0,29,72
67,2024-01-03 19:00:00,25.9,0.62,13.0,29,72
68,2024-01-03 20:00:00,28.2,0.63,17.0,29,75
69,2024-01-03 21:00:00,28.7,0.45,6.0,29,79
70,2024-01-03 22:00:00,25.8,0.44,6.0,28,80
71,2024-01-03 23:00:00,26.3,0.42,5.0,28,81
72,2024-01-04 00:00:00,20.9,0.38,3.0,28,77
73,2024-01-04 01:00:00,18.7,0.32,1.0,28,77
74,2024-01-04 02:00:00,16.8,0.3,0.0,27,74
75,2024-01-04 03:00:00,17.2,0.34,0.0,27,77
76,2024-01-04 04:00:00,17.1,0.36,0.0,27,78
77,2024-01-04 05:00:00,18.8,0.5,5.29,27,80
78,2024-01-04 06:00:00,20.2,0.4,3.0,27,80
79,2024-01-04 07:00:00,21.6,0.57,9.0,27,78
80,2024-01-04 08:00:00,22.1,0.43,5.0,30,68
81,2024-01-04 09:00:00,24.7,0.45,5.0,32,60
82,2024-01-04 10:00:00,23.4,0.46,4.0,32,57
83,2024-01-04 11:00:00,20.7,0.51,6.0,33,54
84,2024-01-04 12:00:00,22.3,0.49,6.0,33,55
85,2024-01-04 13:00:00,23.2,0.46,7.0,33,60
86,2024-01-04 14:00:00,22.3,0.44,3.0,31,65
87,2024-01-04 15:00:00,23.5,0.41,4.0,32,60
88,2024-01-04 16:00:00,20.9,0.51,7.0,33,57
89,2024-01-04 17:00:00,28.7,0.63,10.0,32,61
90,2024-01-04 18:00:00,27.6,0.82,16.0,31,68
91,2024-01-04 19:00:00,30.2,0.51,11.0,30,72
92,2024-01-04 20:00:00,27.4,0.56,10.0,29,75
93,2024-01-04 21:00:00,27.0,0.44,6.0,29,75
94,2024-01-04 22:00:00,26.1,0.39,2.0,28,80
95,2024-01-04 23:00:00,22.1,0.42,2.0,28,81
96,2024-01-05 00:00:00,20.5,0.42,1.0,28,76
97,2024-01-05 01:00:00,20.4,0.38,0.0,28,73
98,2024-01-05 02:00:00,21.6,0.38,0.0,28,75
99,2024-01-05 03:00:00,18.8,0.37,5.29,28,77
100,2024-01-05 04:00:00,20.7,0.39,0.0,27,79
101,2024-01-05 05:00:00,21.5,0.44,1.0,27,78
102,2024-01-05 06:00:00,20.9,0.5,5.29,27,79
103,2024-01-05 07:00:00,22.0,0.56,8.0,28,77
104,2024-01-05 08:00:00,22.2,0.5,7.0,29,72
105,2024-01-05 09:00:00,23.5,0.51,5.0,30,67
106,2024-01-05 10:00:00,24.6,0.46,5.0,32,61
107,2024-01-05 11:00:00,22.3,0.44,5.0,32,60
108,2024-01-05 12:00:00,22.5,0.5,9.0,33,58
109,2024-01-05 13:00:00,24.3,0.5,6.0,33,58
110,2024-01-05 14:00:00,20.9,0.49,5.0,33,58
111,2024-01-05 15:00:00,22.5,0.46,4.0,34,55
112,2024-01-05 16:00:00,19.5,0.57,8.0,33,56
113,2024-01-05 17:00:00,22.9,0.59,9.0,32,62
114,2024-01-05 18:00:00,33.6,0.6,11.0,30,66
115,2024-01-05 19:00:00,25.2,0.54,6.0,30,66
116,2024-01-05 20:00:00,31.7,0.49,6.0,29,66
117,2024-01-05 21:00:00,28.2,0.46,4.0,29,69
118,2024-01-05 22:00:00,28.9,0.48,3.0,28,72
119,2024-01-05 23:00:00,28.7,0.46,3.0,28,72
120,2024-01-06 00:00:00,31.3,0.4,2.0,28,72
121,2024-01-06 01:00:00,25.4,0.4,1.0,28,75
122,2024-01-06 02:00:00,24.0,0.39,1.0,28,76
123,2024-01-06 03:00:00,25.0,0.41,1.0,27,78
124,2024-01-06 04:00:00,24.5,0.43,1.0,27,79
125,2024-01-06 05:00:00,24.1,0.43,2.0,27,77
126,2024-01-06 06:00:00,25.6,0.45,3.0,27,79
127,2024-01-06 07:00:00,25.7,0.5,5.29,28,75
128,2024-01-06 08:00:00,26.9,0.48,5.0,30,66
129,2024-01-06 09:00:00,32.4,0.49,4.0,31,61
130,2024-01-06 10:00:00,28.6,0.49,4.0,32,59
131,2024-01-06 11:00:00,33.0,0.49,5.0,33,56
132,2024-01-06 12:00:00,29.9,0.53,9.0,33,57
133,2024-01-06 13:00:00,32.6,0.53,4.0,34,53
134,2024-01-06 14:00:00,33.4,0.51,3.0,35,48
135,2024-01-06 15:00:00,36.9,0.5,4.0,36,46
136,2024-01-06 16:00:00,32.8,0.52,5.0,35,48
137,2024-01-06 17:00:00,40.6,0.53,11.0,32,59
138,2024-01-06 18:00:00,36.9,0.6,16.0,30,65
139,2024-01-06 19:00:00,37.6,0.63,11.0,30,68
140,2024-01-06 20:00:00,42.8,0.59,9.0,29,71
141,2024-01-06 21:00:00,39.2,0.56,10.0,29,75
142,2024-01-06 22:00:00,34.5,0.59,8.0,29,71
143,2024-01-06 23:00:00,37.5,0.58,8.0,29,69
144,2024-01-07 00:00:00,36.5,0.46,2.0,28,71
145,2024-01-07 01:00:00,31.9,0.45,2.0,28,72
146,2024-01-07 02:00:00,32.9,0.42,1.0,28,73
147,2024-01-07 03:00:00,29.7,0.44,0.0,27,76
148,2024-01-07 04:00:00,33.5,0.49,2.0,27,80
149,2024-01-07 05:00:00,36.3,0.46,0.0,27,81
150,2024-01-07 06:00:00,40.4,0.49,2.0,27,83
151,2024-01-07 07:00:00,43.7,0.52,6.0,28,82
152,2024-01-07 08:00:00,36.7,0.5,5.29,29,76
153,2024-01-07 09:00:00,32.9,0.52,4.0,30,70
154,2024-01-07 10:00:00,35.7,0.53,5.0,31,64
155,2024-01-07 11:00:00,31.2,0.54,6.0,32,59
156,2024-01-07 12:00:00,32.1,0.46,3.0,33,54
157,2024-01-07 13:00:00,30.2,0.48,6.0,32,59
158,2024-01-07 14:00:00,36.7,0.57,9.0,32,60
159,2024-01-07 15:00:00,45.0,0.54,6.0,31,66
160,2024-01-07 16:00:00,42.0,0.57,5.0,30,68
161,2024-01-07 17:00:00,37.6,0.58,7.0,30,70
162,2024-01-07 18:00:00,37.4,0.49,5.0,29,70
163,2024-01-07 19:00:00,35.1,0.51,5.0,29,70
164,2024-01-07 20:00:00,34.7,0.47,4.0,29,72
165,2024-01-07 21:00:00,37.5,0.49,3.0,29,73
166,2024-01-07 22:00:00,35.8,0.51,9.0,29,74
167,2024-01-07 23:00:00,31.8,0.45,4.0,28,74
168,2024-01-08 00:00:00,26.1,0.42,0.0,28,77
169,2024-01-08 01:00:00,26.6,0.41,1.0,28,79
170,2024-01-08 02:00:00,25.2,0.42,1.0,27,81
171,2024-01-08 03:00:00,30.4,0.46,0.0,27,81
172,2024-01-08 04:00:00,30.9,0.45,0.0,27,82
173,2024-01-08 05:00:00,31.2,0.49,2.0,27,82
174,2024-01-08 06:00:00,30.4,0.47,3.0,27,81
175,2024-01-08 07:00:00,29.7,0.5,5.0,28,77
176,2024-01-08 08:00:00,32.8,0.48,4.0,30,69
177,2024-01-08 09:00:00,34.6,0.5,5.29,31,63
178,2024-01-08 10:00:00,25.4,0.48,3.0,32,57
179,2024-01-08 11:00:00,24.7,0.48,4.0,33,54
180,2024-01-08 12:00:00,25.7,0.48,6.0,34,54
181,2024-01-08 13:00:00,25.3,0.52,5.0,35,51
182,2024-01-08 14:00:00,26.4,0.48,4.0,35,49
183,2024-01-08 15:00:00,29.7,0.42,5.0,36,48
184,2024-01-08 16:00:00,22.1,0.5,7.0,36,48
185,2024-01-08 17:00:00,21.5,0.51,8.0,33,54
186,2024-01-08 18:00:00,20.9,0.52,8.0,30,73
187,2024-01-08 19:00:00,30.9,0.51,6.0,28,87
188,2024-01-08 20:00:00,26.4,0.49,6.0,28,83
189,2024-01-08 21:00:00,24.8,0.43,4.0,28,79
190,2024-01-08 22:00:00,19.0,0.42,3.0,28,78
191,2024-01-08 23:00:00,19.3,0.44,2.0,28,74
192,2024-01-09 00:00:00,20.5,0.33,1.0,27,75
193,2024-01-09 01:00:00,23.2,0.29,0.0,27,75
194,2024-01-09 02:00:00,21.2,0.33,0.0,27,75
