,Unnamed: 0,DATETIMEDATA,PM25,CO,NO2,TEMP,RH,DAY1,DAY2,DAY3,DAY4,DAY5,DAY6,DAY7
951,1120,2024-02-16 16:00:00,31.7,0.51,2.0,33,56,30.0,26.5,28.9,33.2,31.0,37.6,39.7
952,1121,2024-02-16 17:00:00,30.0,0.51,3.0,33,58,26.5,28.9,33.2,31.0,37.6,39.7,31.3
953,1122,2024-02-16 18:00:00,26.5,0.54,5.0,31,67,28.9,33.2,31.0,37.6,39.7,31.3,28.5
954,1123,2024-02-16 19:00:00,28.9,0.68,8.0,30,68,33.2,31.0,37.6,39.7,31.3,28.5,28.6
955,1124,2024-02-16 20:00:00,33.2,0.58,6.0,31,60,31.0,37.6,39.7,31.3,28.5,28.6,25.2
956,1125,2024-02-16 21:00:00,31.0,0.57,4.0,30,61,37.6,39.7,31.3,28.5,28.6,25.2,26.6
957,1126,2024-02-16 22:00:00,37.6,0.55,6.0,30,65,39.7,31.3,28.5,28.6,25.2,26.6,22.7
958,1127,2024-02-16 23:00:00,39.7,0.5,5.29,29,66,31.3,28.5,28.6,25.2,26.6,22.7,25.8
959,1128,2024-02-17 00:00:00,31.3,0.49,5.0,29,68,28.5,28.6,25.2,26.6,22.7,25.8,22.7
960,1129,2024-02-17 01:00:00,28.5,0.46,2.0,28,69,28.6,25.2,26.6,22.7,25.8,22.7,21.3
961,1130,2024-02-17 02:00:00,28.6,0.42,2.0,28,69,25.2,26.6,22.7,25.8,22.7,21.3,25.1
962,1131,2024-02-17 03:00:00,25.2,0.41,0.0,28,69,26.6,22.7,25.8,22.7,21.3,25.1,23.9
963,1132,2024-02-17 04:00:00,26.6,0.38,5.29,27,70,22.7,25.8,22.7,21.3,25.1,23.9,27.4
964,1133,2024-02-17 05:00:00,22.7,0.43,1.0,27,71,25.8,22.7,21.3,25.1,23.9,27.4,27.1
965,1134,2024-02-17 06:00:00,25.8,0.47,2.0,27,73,22.7,21.3,25.1,23.9,27.4,27.1,28.2
966,1135,2024-02-17 07:00:00,22.7,0.5,3.0,28,69,21.3,25.1,23.9,27.4,27.1,28.2,32.7
967,1136,2024-02-17 08:00:00,21.3,0.47,3.0,30,62,25.1,23.9,27.4,27.1,28.2,32.7,28.5
968,1137,2024-02-17 09:00:00,25.1,0.49,3.0,31,57,23.9,27.4,27.1,28.2,32.7,28.5,27.6
969,1138,2024-02-17 10:00:00,23.9,0.52,4.0,32,54,27.4,27.1,28.2,32.7,28.5,27.6,33.8
970,1139,2024-02-17 11:00:00,27.4,0.47,5.0,32,55,27.1,28.2,32.7,28.5,27.6,33.8,29.3
971,1140,2024-02-17 12:00:00,27.1,0.47,4.0,33,53,28.2,32.7,28.5,27.6,33.8,29.3,30.8
972,1141,2024-02-17 13:00:00,28.2,0.48,4.0,35,45,32.7,28.5,27.6,33.8,29.3,30.8,32.5
973,1142,2024-02-17 14:00:00,32.7,0.52,5.0,36,42,28.5,27.6,33.8,29.3,30.8,32.5,32.6
974,1143,2024-02-17 15:00:00,28.5,0.63,5.0,36,42,27.6,33.8,29.3,30.8,32.5,32.6,34.9
975,1144,2024-02-17 16:00:00,27.6,0.54,6.0,37,36,33.8,29.3,30.8,32.5,32.6,34.9,31.4
976,1145,2024-02-17 17:00:00,33.8,0.5,4.0,34,49,29.3,30.8,32.5,32.6,34.9,31.4,32.0
977,1146,2024-02-17 18:00:00,29.3,0.52,5.0,32,56,30.8,32.5,32.6,34.9,31.4,32.0,31.6
978,1147,2024-02-17 19:00:00,30.8,0.57,6.0,31,58,32.5,32.6,34.9,31.4,32.0,31.6,31.1
979,1148,2024-02-17 20:00:00,32.5,0.58,7.0,31,58,32.6,34.9,31.4,32.0,31.6,31.1,29.5
980,1149,2024-02-17 21:00:00,32.6,0.59,4.0,30,56,34.9,31.4,32.0,31.6,31.1,29.5,22.8
981,1150,2024-02-17 22:00:00,34.9,0.53,3.0,30,58,31.4,32.0,31.6,31.1,29.5,22.8,24.4
982,1151,2024-02-17 23:00:00,31.4,0.56,8.0,29,64,32.0,31.6,31.1,29.5,22.8,24.4,29.4
983,1152,2024-02-18 00:00:00,32.0,0.5,5.29,28,64,31.6,31.1,29.5,22.8,24.4,29.4,28.7
984,1153,2024-02-18 01:00:00,31.6,0.47,8.0,28,62,31.1,29.5,22.8,24.4,29.4,28.7,28.4
985,1154,2024-02-18 02:00:00,31.1,0.39,3.0,28,64,29.5,22.8,24.4,29.4,28.7,28.4,24.5
986,1155,2024-02-18 03:00:00,29.5,0.37,4.0,27,63,22.8,24.4,29.4,28.7,28.4,24.5,22.3
987,1156,2024-02-18 04:00:00,22.8,0.39,8.0,27,63,24.4,29.4,28.7,28.4,24.5,22.3,27.0
988,1157,2024-02-18 05:00:00,24.4,0.42,2.0,27,65,29.4,28.7,28.4,24.5,22.3,27.0,29.5
989,1158,2024-02-18 06:00:00,29.4,0.41,3.0,27,66,28.7,28.4,24.5,22.3,27.0,29.5,27.5
990,1159,2024-02-18 07:00:00,28.7,0.4,3.0,28,63,28.4,24.5,22.3,27.0,29.5,27.5,28.1
991,1160,2024-02-18 08:00:00,28.4,0.4,3.0,30,57,24.5,22.3,27.0,29.5,27.5,28.1,27.4
992,1161,2024-02-18 09:00:00,24.5,0.5,3.0,31,55,22.3,27.0,29.5,27.5,28.1,27.4,27.3
993,1162,2024-02-18 10:00:00,22.3,0.48,4.0,32,50,27.0,29.5,27.5,28.1,27.4,27.3,32.5
994,1163,2024-02-18 11:00:00,27.0,0.46,5.0,33,48,29.5,27.5,28.1,27.4,27.3,32.5,31.6
995,1164,2024-02-18 12:00:00,29.5,0.48,6.0,34,47,27.5,28.1,27.4,27.3,32.5,31.6,27.59
996,1165,2024-02-18 13:00:00,27.5,0.48,4.0,35,44,28.1,27.4,27.3,32.5,31.6,27.59,27.59
997,1166,2024-02-18 14:00:00,28.1,0.5,5.0,36,40,27.4,27.3,32.5,31.6,27.59,27.59,51.0
998,1167,2024-02-18 15:00:00,27.4,0.54,3.0,37,37,27.3,32.5,31.6,27.59,27.59,51.0,40.9
999,1168,2024-02-18 16:00:00,27.3,0.5,3.0,37,36,32.5,31.6,27.59,27.59,51.0,40.9,29.9
1000,1169,2024-02-18 17:00:00,32.5,0.57,6.0,34,46,31.6,27.59,27.59,51.0,40.9,29.9,30.3
1001,1170,2024-02-18 18:00:00,31.6,0.91,13.0,31,59,27.59,27.59,51.0,40.9,29.9,30.3,31.0
1002,1171,2024-02-18 19:00:00,27.59,1.0,19.0,30,61,27.59,51.0,40.9,29.9,30.3,31.0,18.4
1003,1172,2024-02-18 20:00:00,27.59,0.81,14.0,30,63,51.0,40.9,29.9,30.3,31.0,18.4,25.2
1004,1173,2024-02-18 21:00:00,51.0,0.77,13.0,30,66,40.9,29.9,30.3,31.0,18.4,25.2,24.7
1005,1174,2024-02-18 22:00:00,40.9,0.71,15.0,29,67,29.9,30.3,31.0,18.4,25.2,24.7,30.9
1006,1175,2024-02-18 23:00:00,29.9,0.5,6.0,29,69,30.3,31.0,18.4,25.2,24.7,30.9,26.3
1007,1176,2024-02-19 00:00:00,30.3,0.42,2.0,28,75,31.0,18.4,25.2,24.7,30.9,26.3,28.8
1008,1177,2024-02-19 01:00:00,31.0,0.5,5.29,28,75,18.4,25.2,24.7,30.9,26.3,28.8,24.5
1009,1178,2024-02-19 02:00:00,18.4,0.37,0.0,28,74,25.2,24.7,30.9,26.3,28.8,24.5,22.1
1010,1179,2024-02-19 03:00:00,25.2,0.38,0.0,28,74,24.7,30.9,26.3,28.8,24.5,22.1,26.8
1011,1180,2024-02-19 04:00:00,24.7,0.39,0.0,28,74,30.9,26.3,28.8,24.5,22.1,26.8,23.1
1012,1181,2024-02-19 05:00:00,30.9,0.41,0.0,27,76,26.3,28.8,24.5,22.1,26.8,23.1,24.8
1013,1182,2024-02-19 06:00:00,26.3,0.52,2.0,27,77,28.8,24.5,22.1,26.8,23.1,24.8,22.3
1014,1183,2024-02-19 07:00:00,28.8,0.62,7.0,28,72,24.5,22.1,26.8,23.1,24.8,22.3,23.7
1015,1184,2024-02-19 08:00:00,24.5,0.48,4.0,31,62,22.1,26.8,23.1,24.8,22.3,23.7,22.5
1016,1185,2024-02-19 09:00:00,22.1,0.5,4.0,32,58,26.8,23.1,24.8,22.3,23.7,22.5,23.2
1017,1186,2024-02-19 10:00:00,26.8,0.48,4.0,33,55,23.1,24.8,22.3,23.7,22.5,23.2,24.0
1018,1187,2024-02-19 11:00:00,23.1,0.5,5.0,33,55,24.8,22.3,23.7,22.5,23.2,24.0,25.1
1019,1188,2024-02-19 12:00:00,24.8,0.46,4.0,33,55,22.3,23.7,22.5,23.2,24.0,25.1,26.0
